ModelKey,Model,Accuracy,Precision,Recall,F1-score,AUC
logistic_regression,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
random_forest,Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313
svm,SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
